Station,Date,Tmax,Tmin,Tavg,DewPoint,PrecipTotal,StnPressure,SeaLevel,AvgSpeed,Rain,Mist,RelativeHumidity
1,2007-05-01,83,50,66.5,51,0.0,29.1,29.82,9.2,0,0,57.394895287956274
2,2007-05-01,84,52,68.0,51,0.0,29.18,29.82,9.6,0,0,54.497276281177406
1,2007-05-02,59,42,50.5,42,0.0,29.38,30.09,13.4,0,1,72.50868575131864
2,2007-05-02,60,43,51.5,42,0.0,29.44,30.08,13.4,0,1,69.87248150181188
1,2007-05-03,66,46,56.0,40,0.0,29.39,30.12,11.9,0,0,54.84885958603458
2,2007-05-03,67,48,57.5,40,0.0,29.46,30.12,13.2,0,1,51.95618105356584
1,2007-05-04,66,49,57.5,41,0.0,29.31,30.05,10.8,1,0,54.0114612842241
2,2007-05-04,78,51,64.5,42,0.0,29.36,30.04,10.4,0,0,43.79590911234035
1,2007-05-05,66,53,59.5,38,0.0,29.4,30.1,12.0,0,0,44.72745415594877
2,2007-05-05,66,54,60.0,39,0.0,29.46,30.09,11.5,0,0,45.691135780344744
1,2007-05-06,68,49,58.5,30,0.0,29.57,30.29,15.0,0,0,33.674388691311584
2,2007-05-06,68,52,60.0,30,0.0,29.62,30.28,14.5,0,0,31.91694960547223
1,2007-05-07,83,47,65.0,41,0.0,29.38,30.12,10.5,1,0,41.407662853927874
2,2007-05-07,84,50,67.0,39,0.0,29.44,30.12,9.9,0,0,35.73967643765382
1,2007-05-08,82,54,68.0,58,0.0,29.29,30.03,5.8,0,1,70.3500341906023
2,2007-05-08,80,60,70.0,57,0.0,29.36,30.02,5.4,0,1,63.365166672408776
1,2007-05-09,77,61,69.0,59,0.13,29.21,29.94,6.2,0,1,70.4552272678883
2,2007-05-09,76,63,69.5,60,0.02,29.28,29.93,5.9,0,1,71.77594403563046
1,2007-05-10,84,56,70.0,52,0.0,29.2,29.92,4.1,0,1,52.80147113979146
2,2007-05-10,83,59,71.0,52,0.0,29.26,29.91,3.9,0,1,51.032969620861465
1,2007-05-11,70,51,60.5,42,0.0,29.33,30.04,12.9,0,0,50.42575103560858
2,2007-05-11,73,49,61.0,44,0.0,29.39,30.03,12.8,0,0,53.489222585624475
1,2007-05-12,64,46,55.0,36,0.0,29.49,30.2,12.9,0,0,48.61640558435118
2,2007-05-12,65,47,56.0,37,0.0,29.54,30.19,13.0,0,0,48.77141942984007
1,2007-05-13,69,43,56.0,33,0.0,29.49,30.24,8.1,0,0,41.598614305277
2,2007-05-13,69,44,56.5,32,0.0,29.55,30.24,7.6,0,0,39.24187891328215
1,2007-05-14,90,56,73.0,47,0.0,29.23,29.97,17.3,0,0,39.58164504515501
2,2007-05-14,90,54,72.0,45,0.0,29.31,29.98,14.6,0,0,37.95619680259921
1,2007-05-15,80,57,68.5,56,0.38,29.13,29.84,12.3,1,1,64.3363410570908
2,2007-05-15,82,56,69.0,56,0.6,29.19,29.83,10.8,1,1,63.24179235088773
1,2007-05-16,66,44,55.0,43,0.14,29.33,30.03,12.2,1,1,63.864667476624994
2,2007-05-16,64,45,54.5,42,0.07,29.39,30.03,11.8,1,1,62.585455856193036
1,2007-05-17,62,43,52.5,32,0.0,29.55,30.27,11.3,0,0,45.40595023757723
