Date,AddressNumberAndStreet,Species,WnvPresent,NumMosquitos,NumEntries,AvgMosquitos,Trap,Address,Block,Street,Latitude,Longitude,AddressAccuracy,Overall Latitude,Overall Longitude,Station,Tmax,Tmin,Tavg,DewPoint,Heat,Cool,CodeSum,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Date_Sprayed
2007-05-29,"1100  S PEORIA ST, Chicago, IL",CULEX RESTUANS,0,1,1,1.0,T091,"1100 South Peoria Street, Chicago, IL 60608, USA",11, S PEORIA ST,41.862292,-87.64886,8,41.862,-87.649,2,88,65,76.0,59,0.0,11.0,BR HZ,0.00,29.44,30.09,5.8,16,7.4,
2007-05-29,"8900  S CARPENTER ST, Chicago, IL",CULEX RESTUANS,0,1,1,1.0,T159,"8900 South Carpenter Street, Chicago, IL 60620, USA",89, S CARPENTER ST,41.732984,-87.649642,8,41.733,-87.65,2,88,65,76.0,59,0.0,11.0,BR HZ,0.00,29.44,30.09,5.8,16,7.4,
2007-05-29,"7900  W FOSTER AVE, Chicago, IL",CULEX RESTUANS,0,4,1,4.0,T015,"7900 West Foster Avenue, Chicago, IL 60656, USA",79, W FOSTER AVE,41.974089,-87.824812,8,41.974,-87.825,1,88,60,74.0,58,0.0,9.0,BR HZ,0.00,29.39,30.11,5.8,18,6.5,
2007-05-29,"7900  W FOSTER AVE, Chicago, IL",CULEX PIPIENS/RESTUANS,0,1,1,1.0,T015,"7900 West Foster Avenue, Chicago, IL 60656, USA",79, W FOSTER AVE,41.974089,-87.824812,8,41.974,-87.825,1,88,60,74.0,58,0.0,9.0,BR HZ,0.00,29.39,30.11,5.8,18,6.5,
2007-05-29,"7500  N OAKLEY AVE, Chicago, IL",CULEX PIPIENS/RESTUANS,0,1,1,1.0,T148,"7500 North Oakley Avenue, Chicago, IL 60645, USA",75, N OAKLEY AVE,42.01743,-87.687769,8,42.017,-87.688,1,88,60,74.0,58,0.0,9.0,BR HZ,0.00,29.39,30.11,5.8,18,6.5,
2007-05-29,"6500  N OAK PARK AVE, Chicago, IL",CULEX PIPIENS/RESTUANS,0,1,1,1.0,T143,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",65, N OAK PARK AVE,41.999129,-87.795585,8,41.999,-87.796,1,88,60,74.0,58,0.0,9.0,BR HZ,0.00,29.39,30.11,5.8,18,6.5,
2007-05-29,"6200  N MANDELL AVE, Chicago, IL",CULEX RESTUANS,0,1,1,1.0,T007,"6200 North Mandell Avenue, Chicago, IL 60646, USA",62, N MANDELL AVE,41.994991,-87.769279,9,41.995,-87.769,1,88,60,74.0,58,0.0,9.0,BR HZ,0.00,29.39,30.11,5.8,18,6.5,
2007-05-29,"5300  N STREETER DR, Chicago, IL",CULEX PIPIENS/RESTUANS,0,1,1,1.0,T129,"North Streeter Drive, Chicago, IL 60611, USA",53, N STREETER DR,41.891126,-87.61156,5,41.891,-87.612,2,88,65,76.0,59,0.0,11.0,BR HZ,0.00,29.44,30.09,5.8,16,7.4,
2007-05-29,"4100  N OAK PARK AVE, Chicago, IL",CULEX RESTUANS,0,1,1,1.0,T002,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,41.95469,-87.800991,9,41.955,-87.801,1,88,60,74.0,58,0.0,9.0,BR HZ,0.00,29.39,30.11,5.8,18,6.5,
2007-05-29,"4100  N OAK PARK AVE, Chicago, IL",CULEX PIPIENS/RESTUANS,0,1,1,1.0,T002,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,41.95469,-87.800991,9,41.955,-87.801,1,88,60,74.0,58,0.0,9.0,BR HZ,0.00,29.39,30.11,5.8,18,6.5,
2007-05-29,"2500  W GRAND AVE, Chicago, IL",CULEX RESTUANS,0,1,1,1.0,T046,"2500 West Grand Avenue, Chicago, IL 60654, USA",25, W GRAND AVE,41.891118,-87.654491,8,41.891,-87.654,2,88,65,76.0,59,0.0,11.0,BR HZ,0.00,29.44,30.09,5.8,16,7.4,
2007-05-29,"2200  W 89TH ST, Chicago, IL",CULEX RESTUANS,0,5,1,5.0,T096,"2200 West 89th Street, Chicago, IL 60643, USA",22, W 89TH ST,41.731922,-87.677512,8,41.732,-87.678,2,88,65,76.0,59,0.0,11.0,BR HZ,0.00,29.44,30.09,5.8,16,7.4,
2007-05-29,"5300  N STREETER DR, Chicago, IL",CULEX RESTUANS,0,2,1,2.0,T129,"North Streeter Drive, Chicago, IL 60611, USA",53, N STREETER DR,41.891126,-87.61156,5,41.891,-87.612,2,88,65,76.0,59,0.0,11.0,BR HZ,0.00,29.44,30.09,5.8,16,7.4,
2007-05-29,"2200  W 113TH ST, Chicago, IL",CULEX RESTUANS,0,1,1,1.0,T086,"2200 West 113th Street, Chicago, IL 60643, USA",22, W 113TH ST,41.688324,-87.676709,8,41.688,-87.677,2,88,65,76.0,59,0.0,11.0,BR HZ,0.00,29.44,30.09,5.8,16,7.4,
2007-05-29,"2200  W 89TH ST, Chicago, IL",CULEX PIPIENS,0,1,1,1.0,T096,"2200 West 89th Street, Chicago, IL 60643, USA",22, W 89TH ST,41.731922,-87.677512,8,41.732,-87.678,2,88,65,76.0,59,0.0,11.0,BR HZ,0.00,29.44,30.09,5.8,16,7.4,
2007-05-29,"1100  W CHICAGO, Chicago, IL",CULEX RESTUANS,0,1,1,1.0,T049,"1100 West Chicago Avenue, Chicago, IL 60642, USA",11, W CHICAGO,41.896282,-87.655232,8,41.896,-87.655,2,88,65,76.0,59,0.0,11.0,BR HZ,0.00,29.44,30.09,5.8,16,7.4,
2007-05-29,"1100  W ROOSEVELT, Chicago, IL",CULEX PIPIENS/RESTUANS,0,1,1,1.0,T048,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,41.867108,-87.654224,8,41.867,-87.654,2,88,65,76.0,59,0.0,11.0,BR HZ,0.00,29.44,30.09,5.8,16,7.4,
2007-05-29,"1100  W ROOSEVELT, Chicago, IL",CULEX RESTUANS,0,2,1,2.0,T048,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,41.867108,-87.654224,8,41.867,-87.654,2,88,65,76.0,59,0.0,11.0,BR HZ,0.00,29.44,30.09,5.8,16,7.4,
2007-05-29,"1500  W WEBSTER AVE, Chicago, IL",CULEX RESTUANS,0,2,1,2.0,T045,"1500 West Webster Avenue, Chicago, IL 60614, USA",15, W WEBSTER AVE,41.9216,-87.666455,8,41.922,-87.666,2,88,65,76.0,59,0.0,11.0,BR HZ,0.00,29.44,30.09,5.8,16,7.4,
